measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,1990,14683.378233634972,17799.632723185758,11422.49066470772
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,1991,15213.632382437132,18259.6387939818,11790.24456974674
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,1992,15727.523680218328,18851.253294952137,12240.290729627272
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,1993,16188.80746260796,19370.3490457659,12687.128965148657
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,1994,16583.99831265718,19823.52109392509,13005.233719906326
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,1995,17195.58019022583,20633.63862090362,13214.51453767611
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,1996,17524.28403248842,20915.002350139177,13724.13745921292
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,1997,17488.846271760634,20981.45786582777,13686.583322909024
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,1998,17644.246250100306,21138.088240921257,13785.980783600717
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,1999,17802.683550209436,21208.60930824782,14125.859353306168
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2000,17933.609868968677,21385.651467774325,14088.397113941715
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2001,17868.548769804274,21242.4013096134,14151.564164839749
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2002,17824.179393159473,21013.094400473245,14137.57055359973
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2003,17664.297870130824,20808.689662687982,14021.379565741714
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2004,17599.262039908474,20718.907192694256,14001.517004564525
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2005,17633.692572111504,20891.16209765152,13963.245233442163
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2006,17810.35751073317,21156.28210888136,14200.934302593363
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2007,18768.31638640163,22208.565241012016,15186.15082482079
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2008,20144.763368524316,23573.25879314448,16247.40338702255
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2009,21552.48467893731,25384.468151663925,17529.980927089593
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2010,22923.41357418039,26893.57669302569,18612.7174740299
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2011,24392.52602606033,28398.16308410046,19925.660223315645
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2012,25555.73818135951,29910.61710578375,20795.43304864252
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2013,26793.291514367844,31457.67989088319,21690.581211287237
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2014,28243.47963675424,33151.25934930413,23001.587451045853
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2015,29905.829387546408,35434.80018258454,24394.10019409736
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2016,30664.033553683206,36250.21956768098,25084.540592108664
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2017,30794.6938141532,37002.39799368559,24473.694011279757
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2018,31192.27130853605,37680.9538742321,25254.297238720213
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2019,31182.417644098725,37561.47310080745,25357.77722588514
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2020,31229.043470848363,36956.23124166009,25152.683164955364
1,Deaths,1,Global,3,Both,17,60-64 years,417,Liver cancer,169,All risk factors,1,Number,2021,31483.527353298778,38164.67865029494,25171.46672551309
1,Deaths,1,Global,3,Both,18,65-69 years,417,Liver cancer,169,All risk factors,1,Number,1990,14630.840542871754,17527.445387195436,11682.327110897098
1,Deaths,1,Global,3,Both,18,65-69 years,417,Liver cancer,169,All risk factors,1,Number,1991,15330.803538832108,18476.500726941653,12249.501180262014
1,Deaths,1,Global,3,Both,18,65-69 years,417,Liver cancer,169,All risk factors,1,Number,1992,16089.604641392232,19243.390325913373,13074.206806668715
1,Deaths,1,Global,3,Both,18,65-69 years,417,Liver cancer,169,All risk factors,1,Number,1993,16915.910467407546,20288.237879435583,13722.164884613949
